#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
develop.gab.com,suspend,false,false,Oliphant Tier 3,false
dingdash.com,suspend,false,false,Oliphant Tier 3,false
disqordia.space,suspend,false,false,Oliphant Tier 3,false
dissident.business,suspend,false,false,Oliphant Tier 3,false
dixies.land,suspend,false,false,Oliphant Tier 3,false
dlf.social,suspend,false,false,Oliphant Tier 3,false
dobbs.town,suspend,false,false,Oliphant Tier 3,false
domain,suspend,false,false,Oliphant Tier 3,false
dtzbts.xyz,suspend,false,false,Oliphant Tier 3,false
eatthebugs.social,suspend,false,false,Oliphant Tier 3,false
elementality.org,suspend,false,false,Oliphant Tier 3,false
endtimebelievers.com,suspend,false,false,Oliphant Tier 3,false
epenguin.com,suspend,false,false,Oliphant Tier 3,false
episcodon.net,suspend,false,false,Oliphant Tier 3,false
etiketi.de,suspend,false,false,Oliphant Tier 3,false
fbxl.net,suspend,false,false,Oliphant Tier 3,false
fed.celp.de,suspend,false,false,Oliphant Tier 3,false
federated.fun,suspend,false,false,Oliphant Tier 3,false
fedi.app,suspend,false,false,Oliphant Tier 3,false
feminism.lgbt,suspend,false,false,Oliphant Tier 3,false
feral.cafe,suspend,false,false,Oliphant Tier 3,false
fightthis.net,suspend,false,false,Oliphant Tier 3,false
firebird.mullet.social,suspend,false,false,Oliphant Tier 3,false
firedragonstudios.com,suspend,false,false,Oliphant Tier 3,false
firefaithfellowship.com,suspend,false,false,Oliphant Tier 3,false
fiume.club,suspend,false,false,Oliphant Tier 3,false
fluf.club,suspend,false,false,Oliphant Tier 3,false
foxfam.club,suspend,false,false,Oliphant Tier 3,false
fr13nd5.com,suspend,false,false,Oliphant Tier 3,false
freedomstrike.net,suspend,false,false,Oliphant Tier 3,false
freedomstrike.org,suspend,false,false,Oliphant Tier 3,false
freemasonry.social,suspend,false,false,Oliphant Tier 3,false
freesoftwareextremist.com,suspend,false,false,Oliphant Tier 3,false
freespeech.group,suspend,false,false,Oliphant Tier 3,false
freetalklive.com,suspend,false,false,Oliphant Tier 3,false
freethinkers.lgbt,suspend,false,false,Oliphant Tier 3,false
freevoice.space,suspend,false,false,Oliphant Tier 3,false
freezepeach.xyz,suspend,false,false,Oliphant Tier 3,false
frennet.link,suspend,false,false,Oliphant Tier 3,false
frennet.xyz,suspend,false,false,Oliphant Tier 3,false
frens.mahodou.moe,suspend,false,false,Oliphant Tier 3,false
furries.club,suspend,false,false,Oliphant Tier 3,false
furry.energy,suspend,false,false,Oliphant Tier 3,false
gab.ai,suspend,false,false,Oliphant Tier 3,false
gab.com,suspend,false,false,Oliphant Tier 3,false
gab.polaris-1.work,suspend,false,false,Oliphant Tier 3,false
gab.protohype.net,suspend,false,false,Oliphant Tier 3,false
gamers.exposed,suspend,false,false,Oliphant Tier 3,false
gangstalking.services,suspend,false,false,Oliphant Tier 3,false
gayfr.social,suspend,false,false,Oliphant Tier 3,false
gentoo.live,suspend,false,false,Oliphant Tier 3,false
getgle.org,suspend,false,false,Oliphant Tier 3,false
ghetti.monster,suspend,false,false,Oliphant Tier 3,false
gitmo.life,suspend,false,false,Oliphant Tier 3,false
glowers.club,suspend,false,false,Oliphant Tier 3,false
gorf.pub,suspend,false,false,Oliphant Tier 3,false
goyslop.cafe,suspend,false,false,Oliphant Tier 3,false
guizzyordi.info,suspend,false,false,Oliphant Tier 3,false
hallsofamenti.io,suspend,false,false,Oliphant Tier 3,false
handicapped.tk,suspend,false,false,Oliphant Tier 3,false
hedgehoghunter.club,suspend,false,false,Oliphant Tier 3,false
helladoge.com,suspend,false,false,Oliphant Tier 3,false
hendrixgames.com,suspend,false,false,Oliphant Tier 3,false
hentai.baby,suspend,false,false,Oliphant Tier 3,false
hidamari.apartments,suspend,false,false,Oliphant Tier 3,false
hub.natehiggers.online,suspend,false,false,Oliphant Tier 3,false
humblr.social,suspend,false,false,Oliphant Tier 3,false
